hospital_drug_id,generic_name_cn,generic_name_en,trade_name_cn,strength,dosage_form,route,atc_code,rxnorm_rxcui,insurance_code,manufacturer,in_formulary,in_stock,high_alert,antibiotic_level,narcotic_class,restricted_dept,alternatives
H001001,华法林钠,warfarin,华法林,2.5mg,片剂,PO,B01AA03,11289,8690123456789,XX制药,1,1,1,0,0,心内科,H001002
H001002,依诺肝素,enoxaparin,克赛,0.4ml:4000IU,注射液,SC,B01AB05,67108,8690123456790,YY制药,1,1,1,0,0,,H001001
H001003,阿司匹林,aspirin,拜阿司匹林,100mg,肠溶片,PO,B01AC06,1191,8690123456791,拜耳,1,1,0,0,0,,
H001004,布洛芬,ibuprofen,芬必得,0.3g,缓释胶囊,PO,M01AE01,5640,8690123456792,中美史克,1,1,0,0,0,,H001005
H001005,对乙酰氨基酚,acetaminophen,泰诺林,0.5g,片剂,PO,N02BE01,161,8690123456793,GSK,1,1,0,0,0,,
H001006,阿莫西林,amoxicillin,阿莫仙,0.5g,胶囊,PO,J01CA04,723,8690123456794,华北制药,1,1,0,1,0,,H001007
H001007,阿奇霉素,azithromycin,希舒美,0.25g,片剂,PO,J01FA10,18631,8690123456795,辉瑞,1,1,0,2,0,,H001006
H001008,赖诺普利,lisinopril,捷赐瑞,10mg,片剂,PO,C09AA03,29046,8690123456796,诺华,1,1,0,0,0,,H001009
H001009,氨氯地平,amlodipine,络活喜,5mg,片剂,PO,C08CA01,17767,8690123456797,辉瑞,1,1,0,0,0,,
H001010,氯沙坦,losartan,科素亚,50mg,片剂,PO,C09CA01,52175,8690123456798,默沙东,1,1,0,0,0,,H001009
H001011,辛伐他汀,simvastatin,舒降之,20mg,片剂,PO,C10AA01,36567,8690123456799,默沙东,1,1,0,0,0,,H001012
H001012,阿托伐他汀,atorvastatin,立普妥,20mg,片剂,PO,C10AA05,83367,8690123456800,辉瑞,1,1,0,0,0,,
H001013,克拉霉素,clarithromycin,克拉仙,0.25g,片剂,PO,J01FA09,21212,8690123456801,AbbVie,1,0,0,2,0,,H001007
H001014,肝素,heparin,肝素钠,12500IU,注射液,IV,B01AB01,5224,8690123456802,千红,1,1,1,0,0,,H001002
H001015,氯吡格雷,clopidogrel,波立维,75mg,片剂,PO,B01AC04,32968,8690123456803,赛诺菲,1,1,0,0,0,,H001003
H001016,二甲双胍,metformin,格华止,0.5g,片剂,PO,A10BA02,6809,8690123456804,中美上海施贵宝,1,1,0,0,0,,
H001017,奥美拉唑,omeprazole,洛赛克,20mg,肠溶胶囊,PO,A02BC01,7646,8690123456805,AstraZeneca,1,1,0,0,0,,
H001018,美托洛尔,metoprolol,倍他乐克,25mg,片剂,PO,C07AB02,6918,8690123456806,AstraZeneca,1,1,0,0,0,,
H001019,地高辛,digoxin,地高辛,0.25mg,片剂,PO,C01AA05,3407,8690123456807,赛诺菲,1,1,1,0,0,,
H001020,左氧氟沙星,levofloxacin,可乐必妥,0.5g,片剂,PO,J01MA12,82122,8690123456808,第一三共,1,1,0,3,0,,
